Date,Open,High,Low,Close,Volume,Log_Return,Rolling_Vol_21,SMA_20,SMA_50,Std_20,BB_Upper,BB_Lower,Market_State,Day_Name
2024-09-17,214.14471619981742,215.28615358843467,212.904016801209,215.17697143554688,45519300,0.002170297742130168,0.1687676277995442,222.0181915283203,220.88828796386719,3.7750618302015275,229.56831518872335,214.46806786791726,Expansion (Bullish),Tuesday
2024-09-18,215.9313221513165,221.05293280374121,215.92138686335736,219.04795837402344,59894900,0.017829881347589237,0.18222532367346045,221.72935638427734,220.73492553710938,3.770021935376169,229.26940025502967,214.189312513525,Expansion (Bullish),Wednesday
2024-09-19,223.31596324984213,228.11002736409566,222.95864123060412,227.16708374023438,66781300,0.03639510459591479,0.2237462381499989,221.85193634033203,220.65868438720702,3.9095001869351957,229.6709367142024,214.03293596646165,Expansion (Bullish),Thursday
2024-09-20,228.2589097535001,231.3556905514529,225.92638886705737,226.5020751953125,318679900,-0.002931691555953585,0.22404136731956892,222.0340705871582,220.67641326904297,4.041527934208246,230.1171264555747,213.9510147187417,Contraction (Bearish),Friday
2024-09-23,225.64844919522082,227.74275012420983,224.12983453268782,224.78492736816406,54146000,-0.007610040193684433,0.2237200995904683,222.01570739746094,220.6009100341797,4.027424446621732,230.07055629070442,213.96085850421747,Contraction (Bearish),Monday
2024-09-24,226.94871280288095,227.64351653597865,224.05044101841318,225.67823791503906,43556100,0.0039661920740840335,0.22129160232882283,222.0251350402832,220.46673583984375,4.036195689174064,230.09752641863133,213.95274366193507,Expansion (Bullish),Tuesday
2024-09-25,223.2564112941643,225.59885242729763,222.3531936181764,224.68569946289062,42308700,-0.004407724405507235,0.2217704011990463,221.94275283813477,220.30438262939452,3.959723830775418,229.8622004996856,214.02330517658393,Contraction (Bearish),Wednesday
2024-09-26,225.6087536412769,226.79982188690562,223.73281698946673,225.82711791992188,36636700,0.005067207214978538,0.22211384424253933,221.99386901855468,220.28263793945314,4.004954805707287,230.00377862996925,213.9839594071401,Expansion (Bullish),Thursday
2024-09-27,226.7601514881057,227.81226214161182,225.6087788258606,226.09512329101562,34026000,0.0011860686555008077,0.22080997596564372,221.89461364746094,220.35944610595703,3.868448977090377,229.6315116016417,214.15771569328018,Expansion (Bullish),Friday
2024-09-30,228.3284048450643,231.26638793945312,227.9413072049674,231.26638793945312,54541900,0.022614430410107484,0.22906034925979657,222.09312591552734,220.5371014404297,4.243872043177867,230.58087000188308,213.6053818291716,Expansion (Bullish),Monday
